id	DSS	day	bwc	vwr
SvBi091	2	13	103.4	59.8
SvBi092	2	0	100	97
SvBi092	2	1	103.6	77.8
SvBi092	2	2	102	68.7
SvBi092	2	3	102.5	65.5
SvBi092	2	4	101	48.1
SvBi092	2	5	98	25.5
SvBi092	2	6	89.3	31.9
SvBi092	2	7	88.8	20.3
SvBi092	2	8	86.8	28.2
SvBi092	2	9	86.8	47.1
SvBi092	2	10	97.5	62.3
SvBi092	2	11	97	51.8
SvBi092	2	12	98	65.7
SvBi092	2	13	97	71.9
SvBi093	2	0	100	87
SvBi093	2	1	97.7	86.9
SvBi093	2	2	101.9	92.9
SvBi093	2	3	100	90.6
SvBi093	2	4	98.6	100.5
SvBi093	2	5	99.1	86.1
SvBi093	2	6	95.8	81.1
SvBi093	2	7	95.8	84.1
SvBi093	2	8	99.5	89.6
SvBi093	2	9	100	99.9
SvBi093	2	10	100	83.2
SvBi093	2	11	99.1	86.9
SvBi093	2	12	99.5	93.1
SvBi093	2	13	100	99.9
SvBi094	2	0	100	89.4
SvBi094	2	1	98.1	92.4
SvBi094	2	2	97.7	102.2
SvBi094	2	3	100.9	104.5
SvBi094	2	4	100	95.2
SvBi094	2	5	101.4	80.7
SvBi094	2	6	97.2	74.5
SvBi094	2	7	95.3	78.1
SvBi094	2	8	98.1	88.5
SvBi094	2	9	100.9	96.8
SvBi094	2	10	100.9	83.6
SvBi094	2	11	100	89.5
SvBi094	2	12	100	91.2
SvBi094	2	13	102.8	90.7
SvBi095	2	0	100	94.7
SvBi095	2	1	99.1	113
SvBi095	2	2	88.8	108.4
SvBi095	2	3	98.6	84.1
SvBi095	2	4	97.7	60.8
SvBi095	2	5	95.8	36.5
SvBi095	2	6	88.4	22.4
SvBi095	2	7	85.1	22.5
SvBi095	2	8	84.2	19
SvBi095	2	9	87.4	27.4
SvBi095	2	10	98.6	36.6
SvBi095	2	11	101.4	48
SvBi095	2	12	100.5	81.3
SvBi095	2	13	99.1	68
SvBi096	2	0	100	84.2
SvBi096	2	1	97.9	88.2
SvBi096	2	2	99.5	94.5
SvBi096	2	3	99	93.1
SvBi096	2	4	99.5	86.1
SvBi096	2	5	98.4	64.5
SvBi096	2	6	94.3	54.2
SvBi096	2	7	89.6	53.7
SvBi096	2	8	94.3	62
SvBi096	2	9	99	64.9
SvBi096	2	10	101.6	70.8
SvBi096	2	11	102.6	85.5
SvBi096	2	12	100.5	64.7
SvBi096	2	13	101	59.4
SvBi109	0	0	100	97.5
SvBi109	0	1	100	107.7
SvBi109	0	2	101.4	109.2
SvBi109	0	3	101.4	94.9
SvBi109	0	4	100	103
SvBi109	0	5	102.3	102.2
SvBi109	0	6	103.7	111.6
SvBi109	0	7	102.8	110.3
SvBi109	0	8	100.9	71.8
SvBi109	0	9	87	89.1
SvBi109	0	10	105.6	106.4
SvBi109	0	11	105.1	118.8
SvBi109	0	12	104.7	120.1
SvBi109	0	13	100.9	98.4
SvBi110	0	0	100	96.8
SvBi110	0	1	98.7	100.1
SvBi110	0	2	99.1	92.9
SvBi110	0	3	101.8	107
SvBi110	0	4	101.8	106.8
SvBi110	0	5	102.2	105.9
SvBi110	0	6	98.7	106.3
SvBi110	0	7	99.6	99.2
SvBi110	0	8	100	104.6
SvBi110	0	9	99.1	108.2
SvBi110	0	10	100	104.7
SvBi110	0	11	99.1	112.4
SvBi110	0	12	98.2	104
SvBi110	0	13	99.1	100.7
SvBi111	1	0	100	92.2
SvBi111	1	1	99.1	111
SvBi111	1	2	99.1	119.3
SvBi111	1	3	100.9	106.2
SvBi111	1	4	97.8	102.1
SvBi111	1	5	100.4	74.5
SvBi111	1	6	97.3	98.2
SvBi111	1	7	98.7	104.6
SvBi111	1	8	100.4	94.6
SvBi111	1	9	102.2	89.8
SvBi111	1	10	100.4	92.3
SvBi111	1	11	100.9	104.3
SvBi111	1	12	99.6	91
SvBi111	1	13	100	93.3
SvBi112	1	0	100	103.8
SvBi112	1	1	97.3	117.1
SvBi112	1	2	100.5	96.5
SvBi112	1	3	98.6	97.1
SvBi112	1	4	97.7	100.8
SvBi112	1	5	98.2	83.3
SvBi112	1	6	99.5	105.3
SvBi112	1	7	100	92
SvBi112	1	8	99.5	82.8
SvBi112	1	9	100	91.8
SvBi112	1	10	99.1	100.9
SvBi112	1	11	98.6	128.3
SvBi112	1	12	100	78
SvBi112	1	13	99.5	85.4
SvBi113	0	0	100	79.3
SvBi113	0	1	95.4	85.7
SvBi113	0	2	102.3	90.4
SvBi113	0	3	100.9	87.8
SvBi113	0	4	98.2	92.6
SvBi113	0	5	102.3	90.8
SvBi113	0	6	99.5	89.4
SvBi113	0	7	99.1	87.5
SvBi113	0	8	99.1	84.7
SvBi113	0	9	100	94.4
SvBi113	0	10	99.5	91.1
SvBi113	0	11	98.2	94.2
SvBi113	0	12	100	90.3
SvBi113	0	13	98.6	87.4
SvBi114	1	0	100	100.8
SvBi114	1	1	100	88.4
SvBi114	1	2	101.4	123.4
SvBi114	1	3	102.7	95.1
SvBi114	1	4	101.8	84.8
SvBi114	1	5	102.7	65.9
SvBi114	1	6	101.8	94.5
SvBi114	1	7	102.7	120.2
SvBi114	1	8	103.2	79.3
SvBi114	1	9	105	96.5
SvBi114	1	10	105	82.6
SvBi114	1	11	105.9	131.4
SvBi114	1	12	104.1	80.9
SvBi114	1	13	104.5	84.7
SvBi115	1	0	100	110
SvBi115	1	1	98.6	114.3
SvBi115	1	2	100.9	119.4
SvBi115	1	3	100.9	109.3
SvBi115	1	4	98.1	80.9
SvBi115	1	5	97.7	39.3
SvBi115	1	6	90.1	42.5
SvBi115	1	7	85.9	24.4
SvBi115	1	8	82.2	19.8
SvBi115	1	9	84.5	38.9
SvBi115	1	10	99.5	60.6
SvBi115	1	11	100.9	79.8
SvBi115	1	12	106.6	92.7
SvBi115	1	13	100.9	112.1
SvBi116	0	0	100	93.5
SvBi116	0	1	100.9	97.1
SvBi116	0	2	102.4	98.2
SvBi116	0	3	100.5	99.1
SvBi116	0	4	101.9	98.5
SvBi116	0	5	103.3	90.5
SvBi116	0	6	101.4	102
SvBi116	0	7	100.5	97.6
SvBi116	0	8	101.9	99.7
SvBi116	0	9	103.3	84.4
SvBi116	0	10	103.8	89
SvBi116	0	11	105.2	98
SvBi116	0	12	104.7	107.2
SvBi116	0	13	104.2	94.9
SvBi117	1	0	100	98.5
SvBi117	1	1	99.6	94.5
SvBi117	1	2	101.3	79
SvBi117	1	3	101.3	81
SvBi117	1	4	100.4	96.1
SvBi117	1	5	101.8	55.6
SvBi117	1	6	98.7	90.4
SvBi117	1	7	101.3	90.1
SvBi117	1	8	100.9	84.8
SvBi117	1	9	102.2	96.4
SvBi117	1	10	100.4	101.7
SvBi117	1	11	99.1	88.1
SvBi117	1	12	100	85.3
SvBi117	1	13	99.6	89.7
SvBi118	0	0	100	84.9
SvBi118	0	1	99.5	111.5
SvBi118	0	2	102.8	120.9
SvBi118	0	3	100	98.2
SvBi118	0	4	100.9	95.4
SvBi118	0	5	100.9	88.4
SvBi118	0	6	99.5	115.7
